Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC 268: Usman vs. Covington 2,"November 06, 2021",Marlon Vera,Marlon Vera,Frankie Edgar,1-0,88-94,0-3,1-0,Bantamweight,KO/TKO-Kick,3,3:50
UFC 268: Usman vs. Covington 2,"November 06, 2021",Shane Burgos,Shane Burgos,Billy Quarantillo,0-0,193-164,0-0,0-0,Featherweight,U-DEC,3,5:00
UFC 268: Usman vs. Covington 2,"November 06, 2021",Justin Gaethje,Justin Gaethje,Michael Chandler,1-0,116-103,0-1,0-0,Lightweight,U-DEC,3,5:00
UFC 268: Usman vs. Covington 2,"November 06, 2021",Alex Pereira,Alex Pereira,Andreas Michailidis,1-0,11-3,0-2,0-0,Middleweight,KO/TKO-Flying-Knee,2,0:18
UFC 268: Usman vs. Covington 2,"November 06, 2021",Bobby Green,Bobby Green,Al Iaquinta,1-0,28-10,0-0,0-0,Lightweight,KO/TKO-Punches,1,2:25
UFC 268: Usman vs. Covington 2,"November 06, 2021",Chris Curtis,Chris Curtis,Phil Hawes,1-0,21-48,0-0,0-0,Middleweight,KO/TKO-Punch,1,4:27
UFC 268: Usman vs. Covington 2,"November 06, 2021",Nassourdine Imavov,Nassourdine Imavov,Edmen Shahbazyan,0-0,42-22,0-1,4-0,Middleweight,KO/TKO-Elbows,2,4:52
UFC 268: Usman vs. Covington 2,"November 06, 2021",Ian Garry,Ian Garry,Jordan Williams,1-0,18-22,0-0,0-0,Welterweight,KO/TKO-Punch,1,4:59
UFC 268: Usman vs. Covington 2,"November 06, 2021",Chris Barnett,Chris Barnett,Gian Villante,1-0,38-30,0-0,0-0,Heavyweight,KO/TKO-Kick,2,2:23
UFC 268: Usman vs. Covington 2,"November 06, 2021",Dustin Jacoby,Dustin Jacoby,John Allan,0-0,153-77,0-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC 268: Usman vs. Covington 2,"November 06, 2021",Melsik Baghdasaryan,Melsik Baghdasaryan,Bruno Souza,0-0,75-46,0-0,0-0,Featherweight,U-DEC,3,5:00
UFC 268: Usman vs. Covington 2,"November 06, 2021",Ode Osbourne,Ode Osbourne,CJ Vergara,0-0,79-93,1-0,0-0,Flyweight,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Glover Teixeira,Glover Teixeira,Jan Blachowicz,0-0,23-28,2-0,2-0,Light Heavyweight,SUB-Rear-Naked-Choke,2,3:02
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Petr Yan,Petr Yan,Cory Sandhagen,1-0,149-169,0-1,1-0,Bantamweight,U-DEC,5,5:00
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Islam Makhachev,Islam Makhachev,Dan Hooker,0-0,2-4,1-0,2-0,Lightweight,SUB-Kimura,1,2:25
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Alexander Volkov,Alexander Volkov,Marcin Tybura,0-0,75-58,0-0,0-0,Heavyweight,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Khamzat Chimaev,Khamzat Chimaev,Li Jingliang,0-0,25-0,1-0,3-0,Welterweight,SUB-Rear-Naked-Choke,1,3:16
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Magomed Ankalaev,Magomed Ankalaev,Volkan Oezdemir,1-0,66-48,1-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Amanda Ribas,Amanda Ribas,Virna Jandiroba,0-1,88-50,1-1,1-0,Women's Strawweight,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Zubaira Tukhugov,Zubaira Tukhugov,Ricardo Ramos,0-0,77-68,2-0,0-0,Featherweight,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Albert Duraev,Albert Duraev,Roman Kopylov,0-1,71-42,1-1,1-0,Middleweight,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,Benoit Saint Denis,0-0,149-67,0-2,0-0,Welterweight,U-DEC,3,5:00
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Michal Oleksiejczuk,Michal Oleksiejczuk,Shamil Gamzatov,1-0,32-35,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,3:31
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Lerone Murphy,Lerone Murphy,Makwan Amirkhani,1-0,4-4,0-5,0-0,Featherweight,KO/TKO-Knee,2,0:14
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Andre Petroski,Andre Petroski,Hu Yaozong,0-0,72-25,4-0,6-0,Middleweight,SUB-Arm-Triangle,3,4:46
UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",Tagir Ulanbekov,Tagir Ulanbekov,Allan Nascimento,0-0,18-25,4-0,1-2,Flyweight,S-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Marvin Vettori,Marvin Vettori,Paulo Costa,0-0,190-163,1-1,0-0,Light Heavyweight,U-DEC,5,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Draw,Grant Dawson,Ricky Glenn,0-0,24-28,3-0,0-1,Lightweight,M-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Jessica-Rose Clark,Jessica-Rose Clark,Joselyne Edwards,0-0,18-30,5-0,0-0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Alex Caceres,Alex Caceres,SeungWoo Choi,0-1,46-33,0-0,1-0,Featherweight,SUB-Rear-Naked-Choke,2,3:31
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Francisco Trinaldo,Francisco Trinaldo,Dwight Grant,0-0,36-31,1-1,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Nicolae Negumereanu,Nicolae Negumereanu,Ike Villanueva,0-0,11-7,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,1:18
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Gregory Rodrigues,Gregory Rodrigues,JunYong Park,0-0,68-56,2-0,0-0,Middleweight,KO/TKO-Punch,2,3:13
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Mason Jones,Mason Jones,David Onama,0-0,87-90,8-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Tabatha Ricci,Tabatha Ricci,Maria Oliveira,0-0,62-66,5-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Jamie Pickett,Jamie Pickett,Laureano Staropoli,0-0,47-25,2-1,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Jai Herbert,Jai Herbert,Khama Worthy,1-0,24-11,0-0,0-0,Lightweight,KO/TKO-Punches,1,2:47
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Jeff Molina,Jeff Molina,Daniel Lacerda,1-0,47-20,0-0,0-0,Flyweight,KO/TKO-Punches,2,0:46
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Randa Markos,Randa Markos,Livinha Souza,0-0,65-11,0-3,0-2,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Costa vs. Vettori,"October 23, 2021",Jonathan Martinez,Jonathan Martinez,Zviad Lazishvili,0-0,92-63,0-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Norma Dumont,Norma Dumont,Aspen Ladd,0-0,65-33,1-0,0-0,Women's Featherweight,U-DEC,5,5:00
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Andrei Arlovski,Andrei Arlovski,Carlos Felipe,0-0,83-73,0-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Jim Miller,Jim Miller,Erick Gonzalez,1-0,32-14,1-1,0-0,Lightweight,KO/TKO-Punch,2,0:14
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Manon Fiorot,Manon Fiorot,Mayra Bueno Silva,0-0,91-48,2-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Nate Landwehr,Nate Landwehr,Ludovit Klein,0-0,71-42,1-0,2-0,Featherweight,SUB-Anaconda-Choke,3,2:22
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Bruno Silva,Bruno Silva,Andrew Sanchez,0-0,70-33,0-7,0-0,Middleweight,KO/TKO-Punches,3,2:35
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Danny Roberts,Danny Roberts,Ramazan Emeev,0-0,34-40,1-2,0-1,Welterweight,S-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Luana Carolina,Luana Carolina,Loopy Godinez,0-0,53-23,0-2,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Batgerel Danaa,Batgerel Danaa,Brandon Davis,1-0,22-7,0-0,0-0,Bantamweight,KO/TKO-Punches,1,2:01
UFC Fight Night: Ladd vs. Dumont,"October 16, 2021",Ariane Carnelossi,Ariane Carnelossi,Istela Nunes,0-0,36-62,5-0,1-0,Women's Strawweight,SUB-Rear-Naked-Choke,3,2:57
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Marina Rodriguez,Marina Rodriguez,Mackenzie Dern,0-0,144-49,0-1,1-1,Women's Strawweight,U-DEC,5,5:00
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Randy Brown,Randy Brown,Jared Gooden,0-0,115-81,0-0,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Matheus Nicolau,Matheus Nicolau,Tim Elliott,0-0,64-70,1-1,0-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Mariya Agapova,Mariya Agapova,Sabina Mazo,1-0,93-62,0-0,1-0,Women's Flyweight,SUB-Rear-Naked-Choke,3,0:53
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Chris Gutierrez,Chris Gutierrez,Felipe Colares,0-0,96-41,0-1,0-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Alexandr Romanov,Alexandr Romanov,Jared Vanderaa,0-0,56-13,5-0,0-0,Heavyweight,KO/TKO-Punches,2,4:43
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Damon Jackson,Damon Jackson,Charles Rosa,0-0,41-34,6-2,2-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Loopy Godinez,Loopy Godinez,Silvana Gomez Juarez,0-0,11-3,5-0,1-0,Women's Strawweight,SUB-Armbar,1,4:14
UFC Fight Night: Dern vs. Rodriguez,"October 09, 2021",Steve Garcia,Steve Garcia,Charlie Ontiveros,0-2,34-7,3-0,0-0,Lightweight,KO/TKO-Punches,2,1:51
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Thiago Santos,Thiago Santos,Johnny Walker,0-0,44-48,0-0,0-0,Light Heavyweight,U-DEC,5,5:00
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Unknown,Kevin Holland,Kyle Daukaus,0-0,3-9,0-1,0-3,Middleweight,Other,1,3:43
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Niko Price,Niko Price,Alex Oliveira,0-0,64-65,1-1,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Krzysztof Jotko,Krzysztof Jotko,Misha Cirkunov,0-0,41-41,1-5,0-0,Middleweight,S-DEC,3,5:00
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Alexander Hernandez,Alexander Hernandez,Mike Breeden,1-0,20-6,0-0,0-0,Lightweight,KO/TKO-Punch,1,1:20
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Jared Gordon,Jared Gordon,Joe Solecki,0-0,51-38,1-4,0-0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Casey O'Neill,Casey O'Neill,Antonina Shevchenko,0-0,52-40,3-0,0-0,Women's Flyweight,KO/TKO-Punches,2,4:47
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Karol Rosa,Karol Rosa,Bethe Correia,0-0,125-62,0-0,0-0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Jamie Mullarkey,Jamie Mullarkey,Devonte Smith,1-0,55-29,1-0,0-0,Lightweight,KO/TKO-Punches,2,2:51
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Douglas Silva de Andrade,Douglas Silva de Andrade,Gaetano Pirrello,1-0,10-5,0-0,0-0,Bantamweight,KO/TKO-Punch,1,2:04
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Stephanie Egger,Stephanie Egger,Shanna Young,0-0,29-22,2-0,0-2,Women's Bantamweight,KO/TKO-Elbow,2,2:22
UFC Fight Night: Santos vs. Walker,"October 02, 2021",Alejandro Perez,Alejandro Perez,Johnny Eduardo,0-0,23-31,1-1,2-0,Bantamweight,SUB-Armbar,2,4:13
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Alexander Volkanovski,Alexander Volkanovski,Brian Ortega,0-0,214-88,0-2,0-3,Featherweight,U-DEC,5,5:00
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Valentina Shevchenko,Valentina Shevchenko,Lauren Murphy,0-0,98-11,3-0,0-0,Women's Flyweight,KO/TKO-Punches,4,4:00
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Robbie Lawler,Robbie Lawler,Nick Diaz,0-0,131-150,0-0,0-0,Middleweight,KO/TKO-Punch,3,0:44
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Curtis Blaydes,Curtis Blaydes,Jairzinho Rozenstruik,0-0,32-18,3-0,0-0,Heavyweight,U-DEC,3,5:00
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Jessica Andrade,Jessica Andrade,Cynthia Calvillo,0-0,48-27,0-0,0-0,Women's Flyweight,KO/TKO-Punches,1,4:54
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Merab Dvalishvili,Merab Dvalishvili,Marlon Moraes,0-1,69-29,4-0,0-0,Bantamweight,KO/TKO-Punches,2,4:25
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Dan Hooker,Dan Hooker,Nasrat Haqparast,0-0,73-27,3-0,0-0,Lightweight,U-DEC,3,5:00
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Chris Daukaus,Chris Daukaus,Shamil Abdurakhimov,2-0,38-23,0-0,0-0,Heavyweight,KO/TKO-Punch,2,1:23
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Taila Santos,Taila Santos,Roxanne Modafferi,1-0,55-18,5-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Jalin Turner,Jalin Turner,Uros Medic,0-0,25-6,1-0,1-0,Lightweight,SUB-Rear-Naked-Choke,1,4:01
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Nick Maximov,Nick Maximov,Cody Brundage,0-0,14-28,4-0,0-1,Middleweight,U-DEC,3,5:00
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Matthew Semelsberger,Matthew Semelsberger,Martin Sano,1-0,3-1,0-0,0-0,Welterweight,KO/TKO-Punch,1,0:15
UFC 266: Volkanovski vs. Ortega,"September 25, 2021",Jonathan Pearce,Jonathan Pearce,Omar Morales,0-0,12-12,6-0,1-0,Featherweight,SUB-Rear-Naked-Choke,2,3:31
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Anthony Smith,Anthony Smith,Ryan Spann,2-0,17-8,0-0,1-0,Light Heavyweight,SUB-Rear-Naked-Choke,1,3:47
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Ion Cutelaba,Ion Cutelaba,Devin Clark,1-0,64-23,8-1,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Ariane Lipski,Ariane Lipski,Mandy Bohm,2-0,87-36,0-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Arman Tsarukyan,Arman Tsarukyan,Christos Giagos,1-0,22-1,0-0,0-0,Lightweight,KO/TKO-Punches,1,2:09
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Nate Maness,Nate Maness,Tony Gravely,1-1,31-36,1-1,0-0,Bantamweight,KO/TKO-Punches,2,2:10
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Joaquin Buckley,Joaquin Buckley,Antonio Arroyo,1-0,41-21,1-0,0-0,Middleweight,KO/TKO-Punches,3,2:26
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Tafon Nchukwi,Tafon Nchukwi,Mike Rodriguez,0-0,116-49,3-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Raquel Pennington,Raquel Pennington,Pannie Kianzad,0-0,48-50,1-1,0-0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Rong Zhu,Rong Zhu,Brandon Jenkins,1-0,86-41,6-0,0-0,Lightweight,KO/TKO-Punches,3,4:35
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Montel Jackson,Montel Jackson,JP Buys,4-0,25-8,4-1,1-3,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Erin Blanchfield,Erin Blanchfield,Sarah Alpar,0-0,120-41,3-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Carlston Harris,Carlston Harris,Impa Kasanganay,1-0,24-6,0-0,0-0,Welterweight,KO/TKO-Punches,1,2:38
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Draw,Gustavo Lopez,Alatengheili,0-0,44-36,3-0,1-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Smith vs. Spann,"September 18, 2021",Hannah Goldy,Hannah Goldy,Emily Whitmire,0-0,10-5,0-2,1-0,Women's Flyweight,SUB-Armbar,1,4:17
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Derek Brunson,Derek Brunson,Darren Till,0-0,41-26,3-0,1-0,Middleweight,SUB-Rear-Naked-Choke,3,2:13
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Tom Aspinall,Tom Aspinall,Serghei Spivac,1-0,16-0,0-0,0-0,Heavyweight,KO/TKO-Elbow,1,2:30
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Alex Morono,Alex Morono,David Zawada,0-0,90-86,0-1,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Khalil Rountree Jr.,Khalil Rountree Jr.,Modestas Bukauskas,1-0,38-23,0-0,0-0,Light Heavyweight,KO/TKO-Kick,2,2:30
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Paddy Pimblett,Paddy Pimblett,Luigi Vendramini,1-0,47-25,0-1,0-0,Lightweight,KO/TKO-Punches,1,4:25
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Molly McCann,Molly McCann,Ji Yeon Kim,0-0,127-122,2-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Jack Shore,Jack Shore,Liudvik Sholinian,0-0,92-19,2-0,1-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Julian Erosa,Julian Erosa,Charles Jourdain,0-1,103-85,2-0,1-0,Catch Weight,SUB-D'Arce-Choke,3,2:56
UFC Fight Night: Brunson vs. Till,"September 04, 2021",Marc-Andre Barriault,Marc-Andre Barriault,Dalcha Lungiambula,0-0,118-85,0-2,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Giga Chikadze,Giga Chikadze,Edson Barboza,2-0,60-33,0-0,2-0,Featherweight,KO/TKO-Punch,3,1:44
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Bryan Battle,Bryan Battle,Gilbert Urbina,0-0,46-45,1-2,1-0,Middleweight,SUB-Rear-Naked-Choke,2,2:15
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Ricky Turcios,Ricky Turcios,Brady Hiestand,1-0,100-66,2-6,0-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Daniel Rodriguez,Daniel Rodriguez,Kevin Lee,0-0,120-56,0-3,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Andre Petroski,Andre Petroski,Micheal Gillmore,0-0,46-31,4-0,1-0,Middleweight,KO/TKO-Elbows,3,3:12
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Gerald Meerschaert,Gerald Meerschaert,Makhmud Muradov,0-0,32-40,3-0,1-0,Middleweight,SUB-Rear-Naked-Choke,2,1:49
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Abdul Razak Alhassan,Abdul Razak Alhassan,Alessio Di Chirico,1-0,1-1,0-0,0-0,Middleweight,KO/TKO-Kick,1,0:17
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Wellington Turman,Wellington Turman,Sam Alvey,0-0,69-68,2-0,0-0,Middleweight,S-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Dustin Jacoby,Dustin Jacoby,Darren Stewart,0-0,37-18,0-2,0-0,Light Heavyweight,KO/TKO-Punches,1,3:04
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",JJ Aldrich,JJ Aldrich,Vanessa Demopoulos,0-0,93-70,1-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Pat Sabatini,Pat Sabatini,Jamall Emmers,0-0,1-10,0-0,2-1,Featherweight,SUB-Heel-Hook,1,1:53
UFC Fight Night: Barboza vs. Chikadze,"August 28, 2021",Mana Martinez,Mana Martinez,Guido Cannetti,0-0,79-66,2-0,0-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Jared Cannonier,Jared Cannonier,Kelvin Gastelum,1-0,81-89,0-0,0-0,Middleweight,U-DEC,5,5:00
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Mark Madsen,Mark Madsen,Clay Guida,0-0,98-72,0-0,0-0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Parker Porter,Parker Porter,Chase Sherman,0-0,149-117,1-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Saidyokub Kakhramonov,Saidyokub Kakhramonov,Trevin Jones,0-0,36-12,2-1,4-0,Bantamweight,SUB-Guillotine-Choke,3,4:39
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Vinc Pichel,Vinc Pichel,Austin Hubbard,0-0,71-56,0-4,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Alexandre Pantoja,Alexandre Pantoja,Brandon Royval,0-0,22-17,3-1,2-0,Flyweight,SUB-Rear-Naked-Choke,2,1:46
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Austin Lingo,Austin Lingo,Luis Saldana,1-0,73-77,0-0,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Brian Kelleher,Brian Kelleher,Domingo Pilarte,0-0,28-3,3-0,2-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Josiane Nunes,Josiane Nunes,Bea Malecki,1-0,52-35,0-0,0-0,Women's Bantamweight,KO/TKO-Punch,1,4:54
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",William Knight,William Knight,Fabio Cherant,1-0,14-15,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,3:58
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Ignacio Bahamondes,Ignacio Bahamondes,Roosevelt Roberts,1-0,105-55,0-0,0-0,Lightweight,KO/TKO-Kick,3,4:55
UFC Fight Night: Cannonier vs. Gastelum,"August 21, 2021",Ramiz Brahimaj,Ramiz Brahimaj,Sasha Palatnikov,0-0,1-1,2-0,1-0,Welterweight,SUB-Rear-Naked-Choke,1,2:33
UFC 265: Lewis vs. Gane,"August 07, 2021",Ciryl Gane,Ciryl Gane,Derrick Lewis,0-0,98-16,0-0,0-0,Heavyweight,KO/TKO-Punches,3,4:11
UFC 265: Lewis vs. Gane,"August 07, 2021",Jose Aldo,Jose Aldo,Pedro Munhoz,0-0,114-75,0-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,"August 07, 2021",Vicente Luque,Vicente Luque,Michael Chiesa,0-0,7-4,0-1,1-2,Welterweight,SUB-D'Arce-Choke,1,3:25
UFC 265: Lewis vs. Gane,"August 07, 2021",Tecia Torres,Tecia Torres,Angela Hill,0-0,144-96,1-2,0-0,Women's Strawweight,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,"August 07, 2021",Song Yadong,Song Yadong,Casey Kenney,0-0,116-78,0-1,0-0,Bantamweight,S-DEC,3,5:00
UFC 265: Lewis vs. Gane,"August 07, 2021",Rafael Fiziev,Rafael Fiziev,Bobby Green,0-0,104-143,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,"August 07, 2021",Vince Morales,Vince Morales,Drako Rodriguez,0-0,76-55,1-3,0-0,Bantamweight,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,"August 07, 2021",Alonzo Menifield,Alonzo Menifield,Ed Herman,0-0,93-41,1-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC 265: Lewis vs. Gane,"August 07, 2021",Jessica Penne,Jessica Penne,Karolina Kowalkiewicz,0-0,12-8,1-1,1-0,Women's Strawweight,SUB-Armbar,1,4:32
UFC 265: Lewis vs. Gane,"August 07, 2021",Manel Kape,Manel Kape,Ode Osbourne,1-0,19-18,0-0,0-0,Flyweight,KO/TKO-Flying-Knee,1,4:44
UFC 265: Lewis vs. Gane,"August 07, 2021",Miles Johns,Miles Johns,Anderson Dos Santos,1-0,80-32,0-0,0-0,Bantamweight,KO/TKO-Punch,3,1:16
UFC 265: Lewis vs. Gane,"August 07, 2021",Melissa Gatto,Melissa Gatto,Victoria Leonardo,0-0,70-43,1-0,0-0,Women's Flyweight,KO/TKO,2,5:00
UFC 265: Lewis vs. Gane,"August 07, 2021",Johnny Munoz,Johnny Munoz,Jamey Simmons,0-0,14-7,2-0,3-0,Bantamweight,SUB-Rear-Naked-Choke,2,2:35
UFC Fight Night: Hall vs. Strickland,"July 31, 2021",Sean Strickland,Sean Strickland,Uriah Hall,0-0,186-107,4-0,0-0,Middleweight,U-DEC,5,5:00
UFC Fight Night: Hall vs. Strickland,"July 31, 2021",Cheyanne Vlismas,Cheyanne Vlismas,Gloria de Paula,1-0,11-5,1-0,0-0,Women's Strawweight,KO/TKO-Kick,1,1:00
UFC Fight Night: Hall vs. Strickland,"July 31, 2021",Jared Gooden,Jared Gooden,Niklas Stolze,1-0,14-7,1-0,0-0,Welterweight,KO/TKO-Punch,1,1:08
